NewsHeadline	Phrase	SOHuman	Pattern	NewsCategory
Brasil sedia primeira cúpula da Comunidade Sul-Americana de Nações	primeira cúpula	0	adj n	Política e conflitos
Presidente Lula do Brasil dá a primeira entrevista coletiva do seu governo	primeira entrevista	0	adj n	Política e conflitos
Ramos-Horta agradece apoio, em sua primeira entrevista pós-atentado	primeira entrevista	0	adj n	Política e conflitos
Aprovado a primeira etapa de impostos sobre a mineração na Austrália	primeira etapa	0	adj n	Economia e negócios
Brasil registra sua primeira morte por Gripe Suína	primeira morte	-3	adj n	Saúde
Chile confirma primeira morte por gripe suína na América do Sul	primeira morte	-3	adj n	Saúde
China registra primeira morte por gripe suína	primeira morte	-3	adj n	Saúde
Espanha registra primeira morte por Gripe Suína (H1N1)	primeira morte	-3	adj n	Saúde
Estados Unidos confirmam primeira morte por gripe suína	primeira morte	-3	adj n	Saúde
Paraíba registra primeira morte por gripe suína no Nordeste	primeira morte	-3	adj n	Saúde
Lula inaugura, na Bahia, primeira usina de biodiesel da Petrobras	primeira usina	0	adj n	Economia e negócios
Obama começa sua primeira viagem latino-americana pelo Brasil	primeira viagem	0	adj n	Política e conflitos
Influenza A (H1N1) faz primeira vítima fatal na Argentina	primeira vítima	-2	adj n	Saúde
Influenza A (H1N1) faz primeira vítima fatal no Reino Unido	primeira vítima	-2	adj n	Saúde
Comparecimento de eleitores na Guiné-Bissau é menor do que a primeira volta e dois maiores partidos se comprometem a aceitar resultados	primeira volta	0	adj n	Política e conflitos
Brasil registra primeiro caso de suspeita de Ebola	primeiro caso	0	adj n	Saúde
Israel e Nova Zelândia confirmam primeiro caso de gripe suína	primeiro caso	0	adj n	Saúde
Moçambique confirma o primeiro caso da Gripe A H1N1	primeiro caso	0	adj n	Saúde
Ocorre o primeiro caso de transmissão de gripe suína entre pessoas no Brasil	primeiro caso	0	adj n	Saúde
Portugal confirma primeiro caso de gripe suína	primeiro caso	0	adj n	Saúde
Quênia confirma seu primeiro caso de Gripe Suína	primeiro caso	0	adj n	Saúde
São Paulo tem primeiro caso de febre amarela	primeiro caso	0	adj n	Saúde
Após primeiro debate e início do horário político, Datafolha revela ampliação da vantagem de Lula	primeiro debate	1	adj n	Política e conflitos
Ocorreu o primeiro debate entre os candidatos à Eleição Presidencial Brasileira de 2006	primeiro debate	1	adj n	Política e conflitos
No primeiro dia de eleições no Egito, uma pessoa morre e várias ficam feridas	primeiro dia	0	adj n	Política e conflitos
No primeiro dia na Casa Branca, Obama discute operação militar no Iraque	primeiro dia	0	adj n	Política e conflitos
Sucesso no primeiro dia de leilão do 3G no Brasil	primeiro dia	0	adj n	Economia e negócios
Holanda tem novo rei, o primeiro homem em 123 anos	primeiro homem	0	adj n	Política e conflitos
Lula vai dar posse hoje, no Paraná, ao primeiro juiz cego do Brasil	primeiro juiz	0	adj n	Política e conflitos
Lula quer se reunir com primeiro ministro francês para discutir situação na Faixa de Gaza	primeiro ministro	0	adj n	Política e conflitos
Campo Grande é o primeiro município brasileiro a receber financiamento do BID para o Procidades	primeiro município	0	adj n	Economia e negócios
Morre primeiro paciente diagnosticado com ebola nos Estados Unidos	primeiro paciente	0	adj n	Saúde
Obama faz o discurso histórico em Gana, primeiro país da África a visitar	primeiro país	0	adj n	Política e conflitos
Peru é primeiro país da América do Sul a confirmar caso de gripe suína	primeiro país	0	adj n	Saúde
Medida de Obama sobre espionagem é "primeiro passo", diz governo	primeiro passo	0	adj n	Política e conflitos
Aldo Rebelo torna-se primeiro presidente comunista do Brasil	primeiro presidente	0	adj n	Política e conflitos
Morre Luís Cabral, o primeiro Presidente da Guiné-Bissau	primeiro presidente	0	adj n	Política e conflitos
Complexo do Alemão deve receber UPP no primeiro semestre de 2011	primeiro semestre	0	adj n	Política e conflitos
Déficit da Previdência aumenta 10,7% no primeiro semestre em relação a mesmo período de 2008	primeiro semestre	0	adj n	Economia e negócios
Destinação correta de embalagens de agrotóxicos cresce 17% no primeiro semestre	primeiro semestre	0	adj n	Economia e negócios
Dezoito milhões de pessoas serão vacinadas contra a gripe A até o primeiro semestre de 2010	primeiro semestre	0	adj n	Saúde
País tem déficit de US$ 7,074 bilhões em conta corrente no primeiro semestre	primeiro semestre	0	adj n	Economia e negócios
Vendas pela internet no Brasil crescem 27% no primeiro semestre	primeiro semestre	0	adj n	Economia e negócios
Morre o primeiro soldado brasileiro no Haiti	primeiro soldado	0	adj n	Política e conflitos
Banco do Brasil lucra R$ 1,7 bilhão no primeiro trimestre de 2009	primeiro trimestre	0	adj n	Economia e negócios
Banco do Brasil tem lucro líquido de R$ 2,3 bilhões no primeiro trimestre	primeiro trimestre	0	adj n	Economia e negócios
Economia brasileira cresce 5,8% no primeiro trimestre	primeiro trimestre	0	adj n	Economia e negócios
Expansão do PIB ante primeiro trimestre de 2010 coloca Brasil no quarto lugar entre Brics	primeiro trimestre	0	adj n	Economia e negócios
PIB brasileiro tem queda de 0,8% no primeiro trimestre do ano	primeiro trimestre	0	adj n	Economia e negócios
Datafolha: Lula vence no primeiro turno	primeiro turno	0	adj n	Política e conflitos
Michel Temer é eleito no primeiro turno presidente da Câmara pela terceira vez	primeiro turno	0	adj n	Política e conflitos
Para Noblat Lula vence no primeiro turno	primeiro turno	0	adj n	Política e conflitos
Depressão pode começar nos primeiros anos de vida, mas nem sempre é tratada	primeiros anos	0	adj n	Saúde
Brasil confirma primeiros casos de Influenza A H1N1	primeiros casos	0	adj n	Saúde
Continente africano tem primeiros casos suspeitos de gripe suína	primeiros casos	0	adj n	Saúde
CPI dos Sanguessugas agendou primeiros depoimentos para esta semana	primeiros depoimentos	0	adj n	Política e conflitos
Fluxo cambial do Brasil continua positivo nos primeiros dias de julho	primeiros dias	0	adj n	Economia e negócios
Chegam os primeiros soldados da força de paz da ONU ao Sudão	primeiros soldados	0	adj n	Política e conflitos
Austrália começa a fazer os primeiros testes em humanos de vacina contra a gripe A	primeiros testes	0	adj n	Saúde
Agentes de segurança dos principais aeroportos franceses voltam ao trabalho após 11 dias em greve	principais aeroportos	0	adj n	Política e conflitos
Atrasos atingem quase 10% dos voos nos principais aeroportos, indica Infraero	principais aeroportos	0	adj n	Economia e negócios
Doença isquêmica do coração, derrame e pneumonia são principais causas de morte	principais causas	0	adj n	Saúde
Amazônia é um dos principais destinos de refugiados colombianos	principais destinos	0	adj n	Política e conflitos
Mensalão é o assunto dos principais jornais e revistas do Brasil	principais jornais	0	adj n	Política e conflitos
ONU aponta Venezuela como uma das principais rotas do tráfico de drogas	principais rotas	0	adj n	Saúde
Agricultura é principal atividade em 59% das terras cadastradas na Amazônia	principal atividade	0	adj n	Economia e negócios
António Guterres considera que Darfur é o principal factor de crise no mundo	principal factor	0	adj n	Política e conflitos
Bush: "Irã é o principal patrocinador do terrorismo no mundo"	principal patrocinador	0	adj n	Política e conflitos
Explosão mata policial na Espanha; ETA é principal suspeita	principal suspeita	-1	adj n	Política e conflitos
Rodada Doha deve ser principal tema de encontro entre Lula e Bush no Japão	principal tema	0	adj n	Economia e negócios
Oposição já tem pronto requerimento de convocação de Dilma para acareação no Senado	pronto requerimento	0	adj n	Economia e negócios
Líder das FARC é morto por seus próprios homens	próprios homens	0	adj n	Política e conflitos
Líder do PSDB no Senado protocola denúncia no Conselho de Ética	protocola denúncia	0	adj n	Economia e negócios
Países emergentes conseguem ampliar participação na próxima cúpula do G8	próxima cúpula	0	adj n	Economia e negócios
Projeto que torna corrupção crime hediondo pode ser votado na próxima semana	próxima semana	0	adj n	Política e conflitos
Renan Calheiros diz que PMDB vai representar contra Arthur Virgílio no Conselho de Ética na próxima semana, em resposta das representações contra Sarney	próxima semana	0	adj n	Política e conflitos
Marina Silva adia para amanhã decisão sobre filiação partidária e concorrer nas próximas eleições	próximas eleições	0	adj n	Política e conflitos
Micheletti estuda se afastar do governo para garantir eleições tranquilas e Zelaya ameaça impugnar as eleições hondurenhas do próximo dia 29	próximo dia	0	adj n	Política e conflitos
Venezuela deve anunciar novo embaixador na Colômbia nos próximo dias	próximo dias	0	adj n	Política e conflitos
José Alencar será operado no próximo domingo para retirar tumor	próximo domingo	0	adj n	Política e conflitos
Próximo encontro do Foro de São Paulo será na capital paulista	próximo encontro	0	adj n	Política e conflitos
Comunistas discutem integração e organização do próximo Foro de São Paulo	próximo foro	0	adj n	Política e conflitos
Obama se reunirá no próximo sábado com líderes da Unasul	próximo sábado	0	adj n	Economia e negócios
Empréstimos garantirão investimentos da Petrobras pelos próximos anos, afirma Gabrielli	próximos anos	0	adj n	Economia e negócios
Chávez e Uribe devem se encontrar nos próximos dias	próximos dias	0	adj n	Política e conflitos
Mantega atribui a bancos públicos recuperação rápida e sustentável da economia	públicos recuperação	0	adj n	Economia e negócios
Brasil registra a quarta morte por gripe A H1N1	quarta morte	-3	adj n	Saúde
José Sarney é eleito presidente do Senado pela quarta vez	quarta vez	0	adj n	Política e conflitos
China confirma quarto caso de gripe suína no país	quarto caso	0	adj n	Saúde
Expansão do PIB ante primeiro trimestre de 2010 coloca Brasil no quarto lugar entre Brics	quarto lugar	0	adj n	Economia e negócios
Campinas confirma quinta morte por gripe suína na cidade	quinta morte	-3	adj n	Saúde
PSOL protocola quinta representação contra Sarney no Conselho de Ética no Senado	quinta representação	0	adj n	Política e conflitos
Presidente de Cuba faz rápida visita à Bahia	rápida visita	1	adj n	Política e conflitos
Colômbia ratifica acordo de livre comércio com o Mercosul	ratifica acordo	0	adj n	Economia e negócios
Grupo islâmico reivindica atentados que mataram 55 pessoas na Síria; Jornalistas turcos são libertados	reivindica atentados	-2	adj n	Saúde
Ministra diz que brasileiros não podem ser tratados como cidadãos de segunda categoria	segunda categoria	0	adj n	Política e conflitos
Acidentes de viação são segunda causa de mortalidade em Angola	segunda causa	0	adj n	Saúde
Lula e Gilmar Mendes discutem nesta segunda denúncia de grampo no Supremo	segunda denúncia	-1	adj n	Política e conflitos
Segunda edição do Festival Paulínia de Cinema tem grande repercussão e é elogiada por críticos	segunda edição	0	adj n	Economia e negócios
Cruz Vermelha alerta países pobres para uma possível segunda onda da doença	segunda onda	0	adj n	Saúde
Balança comercial brasileira tem superavit de US$ 680 milhões na segunda semana do mês	segunda semana	0	adj n	Economia e negócios
Imperador Akihito sofre de hemorragia gástrica, segundo agência de notícias	segundo agência	0	adj n	Política e conflitos
Pelo segundo ano consecutivo, Forbes posiciona Vladimir Putin como a pessoa mais poderosa do mundo	segundo ano	0	adj n	Economia e negócios
Instituto Florestan Fernandes, ligado ao PT, recebeu recursos da Petrobras, segundo deputado	segundo deputado	0	adj n	Política e conflitos
Brasil : greve de ônibus em Curitiba e região metropolitana entra no segundo dia	segundo dia	0	adj n	Economia e negócios
Líbano enfrenta crise humanitária segundo funcionário das Nações Unidas	segundo funcionário	0	adj n	Política e conflitos
Argentina passa a ser segundo país em número de mortes por gripe suína	segundo país	0	adj n	Saúde
Alan García vence Ollanta Humala no segundo turno da eleição presidencial no Peru	segundo turno	0	adj n	Política e conflitos
Após segundo turno, Lula diz que processo democrático no país saiu fortalecido	segundo turno	0	adj n	Política e conflitos
Chile: Eleições presidenciais vão para o segundo turno	segundo turno	0	adj n	Política e conflitos
Eleições presidenciais vão para o segundo turno	segundo turno	0	adj n	Política e conflitos
No 1º debate do segundo turno, Alckmin e Lula trocam duros ataques	segundo turno	0	adj n	Política e conflitos
Próximo Presidente do Chile será decidido no segundo turno	segundo turno	0	adj n	Política e conflitos
Resultado do segundo turno das Eleições Brasileiras 2006	segundo turno	0	adj n	Política e conflitos
Segundo IBOPE, Lula somente perde para Serra no segundo turno	segundo turno	0	adj n	Política e conflitos
Sarney rebate nova denúncia e compara Estadão a tablóides sensacionalistas ingleses	sensacionalistas ingleses	-1	adj n	Política e conflitos
Sob críticas, governo do Rio começa a distribuir medicamento contra gripe A	sob críticas	-2	adj n	Saúde
Osasco confirma terceira morte por gripe A	terceira morte	-3	adj n	Saúde
Rio Grande do Sul confirma terceira morte por gripe suína no Brasil	terceira morte	-3	adj n	Saúde
Inflação em São Paulo sobe para 0,27% na terceira prévia do mês	terceira prévia	0	adj n	Economia e negócios
Michel Temer é eleito no primeiro turno presidente da Câmara pela terceira vez	terceira vez	0	adj n	Política e conflitos
Portugal confirma o terceiro caso da Gripe A H1N1 suína	terceiro caso	0	adj n	Saúde
No Reino Unido, Partido Trabalhista fica em terceiro lugar na Euroeleição	terceiro lugar	0	adj n	Política e conflitos
Colômbia aprova referendo para terceiro mandato de Uribe	terceiro mandato	0	adj n	Política e conflitos
Dilma diz que governo pode continuar sem terceiro mandato	terceiro mandato	0	adj n	Política e conflitos
Em visita à Guatemala, Lula diz que não vai reeleger em 2010, mas defende que Presidentes sul-americanos tenham o terceiro mandato, desde que a democracia seja respeitada	terceiro mandato	0	adj n	Política e conflitos
Quase metade apóia terceiro mandato de Lula, diz pesquisa	terceiro mandato	0	adj n	Política e conflitos
Banco do Brasil tem lucro 37% maior no terceiro trimestre	terceiro trimestre	0	adj n	Economia e negócios
PIB cresce 6,8% no terceiro trimestre, segundo o IBGE	terceiro trimestre	0	adj n	Economia e negócios
OMS pede investimentos no combate a doenças tropicais negligenciadas	tropicais negligenciadas	-1	adj n	Saúde
Kofi Annan critica a imprensa em sua última entrevista colectiva do ano	última entrevista	0	adj n	Política e conflitos
Candidato pelo PSDB ao Planalto minimiza resultado da última pesquisa	última pesquisa	0	adj n	Política e conflitos
Presidente do Paraguai passa bem após última sessão de quimioterapia e deixa hospital	última sessão	0	adj n	Política e conflitos
Gladys Powers, a última veterana feminina da I Guerra Mundial, morre aos 109 anos	última veterana	0	adj n	Política e conflitos
Democratas vão às urnas para últimas primárias do partido	últimas primárias	0	adj n	Política e conflitos
Juíza ouve cinco últimas testemunhas de defesa do mensalão em São Paulo	últimas testemunhas	0	adj n	Política e conflitos
Último balanço do Ministério da Saúde sobre a febre amarela no Brasil	último balanço	0	adj n	Saúde
No último debate entre os presidenciáveis, o eleitor indeciso questiona e os candidatos respondem, entretanto, foi o debate mais tenso	último debate	1	adj n	Política e conflitos
Eleições em Moçambique começam no último dia de Agosto	último dia	0	adj n	Política e conflitos
Roberto Jefferson ataca O Globo, o relator, Lula, o governo e o PT em seu último discurso como deputado	último discurso	0	adj n	Política e conflitos
Presidente da Grécia fará último esforço para formar governo de coalizão	último esforço	0	adj n	Política e conflitos
Lula faz balanço dos oito anos de governo durante último pronunciamento	último pronunciamento	0	adj n	Política e conflitos
Morre o último veterano britânico na I Guerra Mundial e considerado o homem mais velho do mundo	último veterano	0	adj n	Política e conflitos
Morre o último veterano da I Guerra Mundial	último veterano	0	adj n	Política e conflitos
Lula diz que crise imobiliária americana é única coisa que preocupa economia brasileira	única coisa	0	adj n	Economia e negócios
Fortalecimento do G20 como instância decisória é única proposta concreta que sai de reunião	única proposta	0	adj n	Economia e negócios
Continuam violentos confrontos na Faixa de Gaza	violentos confrontos	-3	adj n	Política e conflitos
Cabo Verde: XV Congresso da UCID	xv congresso	0	adj n	Política e conflitos
